"metabolite_number","metabolite_name","uloq_ng_ml","lloq_ng_ml","barcode","time","run","location","sample_id","sample_id2","value","timestamp","flowrate"
"16","Carfentanil",10,0.75,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"17","Carisoprodol",10,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"19","Cocaine",20,0.15,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"21","Codeine",20,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"23","Cyclobenzaprine",20,1.25,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"25","Desalkylflurazepam",2.5,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"26","Diazepam",5,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"28","EDDP",10,0.75,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"29","Fentanyl",20,0.5,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"31","Flunitrazepam",5,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"33","Flurazepam",20,1.25,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"34","Hydrocodone",2.5,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",0.174,"1536445800",2.75
"35","Hydromorphone",20,0.5,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"40","Ketamine",10,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"41","Lorazepam",20,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"42","MDMA",10,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",0.058,"1536445800",2.75
"43","Meperidine",20,0.5,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"45","Meprobamate",20,0.5,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"46","Methadone",20,2.5,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"48","Methamphetamine",20,0.15,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"50","Methylphenidate",5,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"51","Midazolam",20,0.5,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"53","Morphine",20,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"55","Naloxone",5,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"56","Naltrexone",5,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"57","Norbuprenorphine",10,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"58","Norcarfentanil",10,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"59","Nordiazepam",20,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"61","Norfentanyl",5,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"62","Norhydrocodone",5,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",0.108,"1536445800",2.75
"63","Normeperidine",20,0.5,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"65","Noroxycodone",5,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"66","O-Desmethyltramadol",10,0.5,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"67","Oxazepam",2.5,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"68","Oxycodone",20,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"70","Oxymorphone",20,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"71","PCP",20,0.5,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"73","Phentermine",5,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",0.349,"1536445800",2.75
"74","Propoxyphene",20,0.5,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"76","Pseudoephedrine",20,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",8.088,"1536445800",2.75
"78","Sufentanil",10,0.5,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"82","Tapentadol",20,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"83","Temazepam",20,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"79","THC",NA,NA,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"80","THCA",NA,NA,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"84","Tramadol",20,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"85","Trazodone",20,0.5,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"86","Triazolam",20,0.5,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"87","Zolpidem",20,0.5,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"6","α-Hydroxyalprazolam",20,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"7","α-Hydroxytriazolam",20,0.05,"2399","10:30",2,"2","UFWW 26","FB08SEP18 10:30 Loc#2",NA,"1536445800",2.75
"1","6-MAM",5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"2","7-Aminoclonazepam",5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"4","7-Aminoflunitrazepam",5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"9","Alprazolam",20,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"10","Amphetamine",5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"12","Benzoylecgonine",20,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"14","Buprenorphine",20,0.75,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"16","Carfentanil",10,0.75,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"17","Carisoprodol",10,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"19","Cocaine",20,0.15,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"21","Codeine",20,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"23","Cyclobenzaprine",20,1.25,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"25","Desalkylflurazepam",2.5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"26","Diazepam",5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"28","EDDP",10,0.75,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"29","Fentanyl",20,0.5,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"31","Flunitrazepam",5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"33","Flurazepam",20,1.25,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"34","Hydrocodone",2.5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"35","Hydromorphone",20,0.5,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"40","Ketamine",10,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"41","Lorazepam",20,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"42","MDMA",10,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"43","Meperidine",20,0.5,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"45","Meprobamate",20,0.5,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"46","Methadone",20,2.5,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"48","Methamphetamine",20,0.15,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"50","Methylphenidate",5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"51","Midazolam",20,0.5,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"53","Morphine",20,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"55","Naloxone",5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"56","Naltrexone",5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"57","Norbuprenorphine",10,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"58","Norcarfentanil",10,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"59","Nordiazepam",20,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"61","Norfentanyl",5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"62","Norhydrocodone",5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"63","Normeperidine",20,0.5,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"65","Noroxycodone",5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"66","O-Desmethyltramadol",10,0.5,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"67","Oxazepam",2.5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"68","Oxycodone",20,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"70","Oxymorphone",20,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"71","PCP",20,0.5,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"73","Phentermine",5,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"74","Propoxyphene",20,0.5,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"76","Pseudoephedrine",20,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"78","Sufentanil",10,0.5,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"82","Tapentadol",20,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"83","Temazepam",20,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"79","THC",NA,NA,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"80","THCA",NA,NA,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"84","Tramadol",20,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"85","Trazodone",20,0.5,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"86","Triazolam",20,0.5,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"87","Zolpidem",20,0.5,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"6","α-Hydroxyalprazolam",20,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"7","α-Hydroxytriazolam",20,0.05,"2408","10:30",1,"3","Prior UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"1","6-MAM",5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"2","7-Aminoclonazepam",5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"4","7-Aminoflunitrazepam",5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"9","Alprazolam",20,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"10","Amphetamine",5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",2.271,"1536445800",2.75
"12","Benzoylecgonine",20,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",5.243,"1536445800",2.75
"14","Buprenorphine",20,0.75,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"16","Carfentanil",10,0.75,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"17","Carisoprodol",10,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"19","Cocaine",20,0.15,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",4.926,"1536445800",2.75
"21","Codeine",20,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"23","Cyclobenzaprine",20,1.25,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"25","Desalkylflurazepam",2.5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"26","Diazepam",5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"28","EDDP",10,0.75,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"29","Fentanyl",20,0.5,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"31","Flunitrazepam",5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"33","Flurazepam",20,1.25,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"34","Hydrocodone",2.5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"35","Hydromorphone",20,0.5,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"40","Ketamine",10,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"41","Lorazepam",20,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"42","MDMA",10,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"43","Meperidine",20,0.5,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"45","Meprobamate",20,0.5,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"46","Methadone",20,2.5,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"48","Methamphetamine",20,0.15,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"50","Methylphenidate",5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"51","Midazolam",20,0.5,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"53","Morphine",20,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"55","Naloxone",5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"56","Naltrexone",5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"57","Norbuprenorphine",10,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"58","Norcarfentanil",10,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"59","Nordiazepam",20,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"61","Norfentanyl",5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"62","Norhydrocodone",5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"63","Normeperidine",20,0.5,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"65","Noroxycodone",5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"66","O-Desmethyltramadol",10,0.5,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"67","Oxazepam",2.5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"68","Oxycodone",20,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"70","Oxymorphone",20,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"71","PCP",20,0.5,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"73","Phentermine",5,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",0.101,"1536445800",2.75
"74","Propoxyphene",20,0.5,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"76","Pseudoephedrine",20,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",6.477,"1536445800",2.75
"78","Sufentanil",10,0.5,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"82","Tapentadol",20,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"83","Temazepam",20,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"79","THC",NA,NA,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"80","THCA",NA,NA,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"84","Tramadol",20,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",0.431,"1536445800",2.75
"85","Trazodone",20,0.5,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"86","Triazolam",20,0.5,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"87","Zolpidem",20,0.5,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"6","α-Hydroxyalprazolam",20,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"7","α-Hydroxytriazolam",20,0.05,"2408","10:30",2,"3","UFWW 27","FB08SEP18 10:30 Loc#3",NA,"1536445800",2.75
"1","6-MAM",5,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"2","7-Aminoclonazepam",5,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"4","7-Aminoflunitrazepam",5,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"9","Alprazolam",20,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"10","Amphetamine",5,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",2.31,"1536447600",2.52
"12","Benzoylecgonine",20,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",0.08,"1536447600",2.52
"14","Buprenorphine",20,0.75,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"16","Carfentanil",10,0.75,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"17","Carisoprodol",10,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"19","Cocaine",20,0.15,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",0.09,"1536447600",2.52
"21","Codeine",20,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"23","Cyclobenzaprine",20,1.25,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"25","Desalkylflurazepam",2.5,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"26","Diazepam",5,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"28","EDDP",10,0.75,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"29","Fentanyl",20,0.5,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"31","Flunitrazepam",5,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"33","Flurazepam",20,1.25,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"34","Hydrocodone",2.5,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"35","Hydromorphone",20,0.5,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"40","Ketamine",10,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"41","Lorazepam",20,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"42","MDMA",10,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"43","Meperidine",20,0.5,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"45","Meprobamate",20,0.5,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"46","Methadone",20,2.5,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"48","Methamphetamine",20,0.15,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"50","Methylphenidate",5,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"51","Midazolam",20,0.5,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"53","Morphine",20,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"55","Naloxone",5,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"56","Naltrexone",5,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"57","Norbuprenorphine",10,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
"58","Norcarfentanil",10,0.05,"2414","11:00",1,"1","Prior UFWW 28","FB08SEP18 11:00 Loc#1",NA,"1536447600",2.52
